TM,JC,SR,CC,NT
489.4779977,304.0440046,42.35400463,22.18,51.01
490.4779977,305.1279977,43.54799769,26.61599537,51.87
492,315.2279977,55.56599537,52.69599537,55.735
494.4779977,316.5779977,57.38400463,73.39,69.88900463
495.4779977,325,59.48400463,91.66400463,73.71400463
603.3440046,355.0159954,60.19599537,94.69799769,95.74400463
726,355.7559954,181.9720023,103.4059954,121.3929977
733,361.72,227.4220023,111.5279977,123.5390046
866,389.4140046,252.9879977,113.2679977,141.6629977
867,390.8759954,255.3020023,135.9220023,171.5779977
987,396.7120023,275.8840046,142.09,177.9209954
989,397.4079977,282.59,148.9859954,179.4740046
1012.344005,505.4320023,437.9540046,171.1459954,181.3559954
1012.5,506.4640046,442.4579977,203.7279977,182.155
1262,518.3379977,447.7179977,209.58,185.0570023
1322.5,518.7759954,448.64,215.0479977,185.965
1342.344005,536.7679977,461.5779977,221.5040046,186.5420023
1365.334005,537.1959954,491.4120023,230.1720023,188.1270023
1371.865995,570.9320023,517.13,239.9559954,189.3420023
1405.5,588.8559954,526.27,245.4259954,190.2970023
1418.455995,589.8240046,549.72,272.7859954,192.2329977
1425.115995,616.21,550.5979977,284.96,198.4359954
1500.537998,617.5890046,609.31,287.7940046,207.4870023
1521.642002,617.995,615.7020023,289.4440046,218.85
1537.777998,619.095,621.8520023,292.45,247.0090046
1561.514005,620.03,636.8079977,296.9140046,276.6640046
1568,621.5709954,644.5240046,352.7740046,280.6909954
1571,624.1470023,681.3379977,362.5140046,281.85
1571.5,624.78,688.0659954,363.8520023,283.5279977
1572,625.1820023,691.8079977,369.9179977,294.4629977
1616.3,631.3920023,695.6459954,370.8459954,318.0479977
1617.3,634.5690046,707.03,374.5979977,319.7520023
1688,642.575,712.0940046,416.2740046,321.2920023
,644.3309954,721.4579977,420.4520023,325.1729977
,646.3329977,722.58,435,341.2609954
,646.9759954,727.2620023,435.7820023,341.9479977
,671.625,732.7359954,551.4940046,357.7890046
,676.3140046,765.7540046,554.8540046,366.8429977
,676.7979977,767.8240046,583.0620023,367.6659954
,677.4379977,837.3959954,587.2520023,371.4
,685.8209954,851.9079977,611.04,372.3909954
,692.4809954,853.22,669.8020023,404.5090046
,766.2809954,859.9640046,673.5620023,414.8040046
,766.8440046,883.1459954,679.5440046,415.5340046
,834.57,884.0840046,683.66,418.6420023
,835.165,909.76,700.56,430.4179977
,844.9870023,936.4679977,720.8620023,430.8829977
,845.4259954,945.6740046,723.5740046,475.6559954
,910.8779977,969.2920023,864.53,478.2220023
,911.2970023,972.11,870.5240046,480.505
,967.5340046,993.4140046,909,527.0470023
,968.6040046,999.7820023,910.9359954,528.6
,1082.892998,1002.594005,919.19,531.29
,1086.864005,1006.605995,928.91,535.53
,1087.437998,1023.587998,939.09,537.3079977
,1097.765,1025.365995,941.1279977,537.8809954
,1109.207998,1059.472002,945.8759954,554.0620023
,1122.965,1061.005995,955.8279977,556.4459954
,1123.325995,1136.405995,963.9240046,578.4770023
,1207.460995,1153.074005,983.43,578.9440046
,1211.377998,1216.367998,984.2159954,631.1790046
,,1218.932002,1003.97,631.875
,,1219.854005,1009.215995,668.3259954
,,1265.262002,1015.355995,734.5670023
,,1266.88,1021.205995,753.065
,,1268.522002,1024.942002,878.4320023
,,1298.994005,1044,898.5029977
,,1299.66,1050.845995,905.5340046
,,1309.164005,1056.395995,906.4490046
,,1310.15,1077.192002,912.6340046
,,1316.79,1078.494005,925.48
,,1393.175995,1113,926.045
,,1394.995995,1115,942.3570023
,,1396.797998,1144.06,976.0509954
,,1551.69,1148.652002,983.98
,,1572.522002,1165.052002,1016.245995
,,1578.805995,1187.865995,1023.064005
,,1580.58,1195.094005,1028.835995
,,1584.61,1209.555995,1035.214005
,,1594.102002,1222.265995,1050.715995
,,1680.41,1263.92,1054.585995
,,1688.445995,1294.11,1102.512998
,,1692.567998,1295.31,1117.339005
,,1694.844005,1298.794005,1247.615
,,1696.407998,1325.41,1248.739005
,,1809.572002,1332.5,1396.972998
,,1847.295995,1361.927998,1401.179005
,,1852.472002,1388,1747.999005
,,1868.79,1389.064005,1749.349005
,,1882.942002,1396.33,1823.010995
,,1901.497998,1396.942002,
,,1924.93,1409.364005,
,,1934.662002,1436.287998,
,,,1442.565995,
,,,1456.99,
,,,1464.305995,
,,,1469.68,
,,,1516.064005,
,,,1517.945995,
,,,1529.327998,
,,,1537.337998,
,,,1567.265995,
,,,1597.572002,
,,,1609.045995,
,,,1623.897998,
,,,1628.555995,
,,,1629.28,
,,,1630.49,
,,,1635.122002,
,,,1637.515995,
,,,1685.437998,
,,,1686.07,
,,,1718.125995,
,,,1729.632002,
,,,1738.22,
,,,1831.144005,
,,,1837.08,
,,,2027.105995,
,,,2033.125995,
,,,2053.604005,
,,,2060.295995,
,,,2062.292002,
,,,2065.212002,
,,,2093.28,
,,,2094.325995,
,,,2180.687998,
,,,2191.91,
,,,2225.662002,
,,,2251.827998,
,,,2257.595995,
,,,2258.782002,
,,,2260.497998,
,,,2265.867998,
