TM,JC,SR,CC,NT
489,304,43,21,51
490,305.1,44,26,52
492,315.2,55.56599537,53,52
494,316.6,57.38400463,75.26799769,70
494,325,59.48400463,92,74
585,351,60.19599537,95,96
724,354,181.9720023,103,122
733,355,228,112,123.5390046
866,355,252.9879977,114,142
867,359,256,136,172
986,389,275.8840046,143,178
990,391,284,150.6059954,179.4740046
1010,396,437.9540046,172,181.3559954
1012,397,442.4579977,204,182.155
1262,505,447.7179977,210,185.0570023
1262,506,448.64,215,185.965
1342,518,461.5779977,222,186.5420023
1366,518,491.4120023,230,188.1270023
1372,536,517.13,240,189.3420023
1406,537.2,526.27,246,191
1420,570,550,273,193
1426,588,551,285,199
1502,590,604,288,207
1523,616,615,289.4440046,219
1539,617.6,621.8520023,292,247.0090046
1563,618,636.8079977,297,277
1568,619,644,351,278
1570,621,681,362,282
1572,622,686,364,283
1572,624.1470023,691,370,295
1616,624.78,696,371,318
1617,625.1820023,698,375,319.7520023
1689,632,701,416,321.2920023
,635,705,420,325
,642,709,434,341
,643,721,436,342
,646,724,552,358
,647,727.2620023,555,366.8429977
,672,732.7359954,583,368
,676.3140046,765.7540046,587,372
,676.7979977,767.8240046,611,373
,677.4379977,837.3959954,669,405
,686,847,674,415
,692,853,679.5440046,416
,766.2809954,859,684,418
,766.8440046,910,701,476
,834.57,883.1459954,721,479
,835.165,884.0840046,723,482
,910,936,864,527
,912,946,870,529
,966,970,905,531
,969,973,909,534
,1085,995,920,538
,1087,1000,929,538
,1088,1004,939,554.0620023
,1098,1008,941,556.4459954
,1109,1024,946,578.4770023
,1122.965,1025,956,578.9440046
,1123.325995,1060,964,632
,1207.460995,1062,981,634
,1218,1136,984.2159954,666
,1220,1154,1003,735
,1221,1217,1009,753
,1225,1219,1016,879
,1225,1220,1021,895
,,1266,1025,906
,,1268,1037,907
,,1270,1047,912.6340046
,,1298.994005,1054,942
,,1299.66,1077,976
,,1309.164005,1079.245995,984
,,1310.15,1111,1016
,,1318,1115,1019
,,1394,1145,1029
,,1394.995995,1148.652002,1038
,,1396.797998,1165.052002,1050
,,1552,1187.865995,1055
,,1572,1195.094005,1103
,,1580,1210,1116
,,1594,1221,1246
,,1680,1263.92,1248
,,1690,1293,1396
,,1692,1296,1401
,,1693,1300.33,1747
,,1695,1326,1748
,,1811,1331,1823.010995
,,1848,1362,
,,1855,1377,
,,1870,1389.445995,
,,1885,1396,
,,1902,1397,
,,1926,1410,
,,1935,1437,
,,,1443,
,,,1458,
,,,1465,
,,,1469.68,
,,,1515,
,,,1517.945995,
,,,1529,
,,,1538,
,,,1567,
,,,1598,
,,,1609,
,,,1624,
,,,1628.555995,
,,,1630,
,,,1631,
,,,1636,
,,,1638,
,,,1686,
,,,1687,
,,,1719,
,,,1731,
,,,1739,
,,,1829,
,,,1838,
,,,2027,
,,,2034,
,,,2054,
,,,2061,
,,,2063,
,,,2066,
,,,2094,
,,,2095,
,,,2181,
,,,2193,
,,,2226,
,,,2252,
,,,2257,
,,,2260,
,,,2261,
,,,2266,
